kernel,use_n,use_xi,ml_disk,chi2_median,chi2_mean
accel,False,True,1.0,3.8717339519568763,4.529892447404423

name,N,chi2_reduced,v_obs_mean,resid_rms
NGC4389,6,20.59688466768954,73.10000000000001,62.15733953429708
UGC00128,22,16.557641915860597,118.42727272727274,60.58845760213529
NGC4217,19,16.038190466100716,168.6157894736842,71.5879603509264
NGC2903,34,11.187120533961542,182.7058823529412,64.98966029542206
UGC00634,4,11.059387811533014,95.7375,45.53697809573477
NGC2915,30,10.611813907704725,74.11666666666669,47.27416281625725
UGC02487,17,10.509398778472114,355.05882352941177,104.40129335723682
NGC1003,36,10.484792829231164,99.03055555555555,45.38790182021609
F571-8,13,10.22948308987989,94.16153846153846,47.96511845853897
UGC02455,8,10.224776962770449,37.375,37.41891373277044
NGC6674,15,9.447824051199568,249.93333333333334,72.84890911890788
NGC2841,50,9.37828723007902,301.42,83.57345321325646
NGC0891,18,8.607920013054853,219.44444444444446,71.51362084154874
F563-1,17,8.598923132036477,88.95294117647059,54.25860553386511
NGC4088,12,8.449115219859566,162.15833333333333,55.67226253534679
F568-1,12,8.447410775020272,100.88333333333333,55.17429049918058
NGC7331,36,8.02756776538164,241.86111111111111,73.19677226083131
UGC03580,47,7.990203112978959,91.70212765957447,41.6793291577769
UGC02259,8,7.91720812077914,79.8375,36.383760227682146
NGC5985,33,7.75433945673891,285.45454545454544,74.19671164961481
F568-V1,15,7.678243776667702,94.81333333333333,51.90208290530462
NGC5055,28,7.638201429871278,187.25,59.170860169846534
NGC6503,31,7.2847503314945525,114.29032258064517,39.47410400119205
NGC5033,22,7.158311381795728,211.54545454545453,61.21754521914925
F565-V2,7,6.797714528527389,60.47142857142857,35.23436703995248
NGC4085,7,6.709282337577315,108.58571428571429,38.61336876256586
UGC00731,12,6.553168033173521,61.783333333333324,33.60305541062262
IC4202,32,6.546437485229467,219.71875,38.43114775775677
UGC05721,23,6.439742239244057,70.33478260869565,35.31990935792129
NGC0289,28,6.3651696342762945,173.03571428571428,52.34499340544181
UGC05716,12,5.978767033813232,64.44166666666668,32.55618364938434
F574-1,14,5.9311560267826735,80.74285714285715,32.79440138491033
NGC6195,23,5.855973579193974,243.08695652173913,56.91299931665167
ESO563-G021,30,5.829639994656019,263.31,60.0750949885698
NGC1705,14,5.743668063625995,69.64999999999999,36.575235297699315
UGC04325,8,5.7278538967028805,81.05,32.51937634974172
UGC02953,115,5.537396060511429,273.8608695652174,66.86853971471825
NGC2403,73,5.193962547012516,107.99726027397259,36.13681005821128
UGC01230,11,5.135491441869323,91.88181818181819,39.97794328881181
F571-V1,7,5.080246069055742,69.74285714285715,31.132712329536602
NGC0300,25,5.069278521043246,80.664,33.721953516695116
UGC02916,43,5.0653953049635785,208.72093023255815,49.966183933822
F563-V2,10,5.056361196686396,86.15,48.11701777519343
NGC7814,18,5.038388870204801,224.61111111111111,56.02542968627414
NGC6015,44,5.026709830694418,143.21818181818182,40.345554254810494
UGC02885,19,5.011393907217573,285.8421052631579,64.94288891607415
ESO444-G084,7,4.993872694009482,48.285714285714285,30.302015261049462
ESO116-G012,15,4.956476197050465,86.74666666666667,31.82846005921599
F583-1,25,4.803017106922901,53.263999999999996,30.711821246017912
NGC3109,25,4.797397134707922,45.764,28.199705141470417
NGC3769,12,4.63633058628021,115.875,37.23001656697265
NGC4214,14,4.62734184860488,75.22142857142856,31.95538396589283
UGC03546,30,4.572964378526507,212.0,78.68037520196484
NGC3521,41,4.54248732645234,207.4390243902439,57.62584301307396
UGC05764,10,4.536700884198519,45.769999999999996,26.45654619532635
NGC3198,43,4.515188883748175,125.67209302325581,36.1135485764744
NGC4157,17,4.3947208967120766,180.78823529411764,43.4217587039247
NGC3877,13,4.373907638352891,144.06923076923078,34.30890515790139
NGC5005,18,4.27996398719086,252.27777777777777,69.37919569018918
NGC3741,21,4.095222127186201,36.180952380952384,23.924240849289337
UGC05253,73,4.065130899487911,241.78082191780823,53.42781610827003
NGC2955,24,4.032234049745824,252.125,50.735927458596485
NGC3726,12,3.920394391916492,151.83333333333334,36.384535333461606
NGC0247,26,3.8230735119972605,85.17307692307692,28.32871140023609
NGC4013,36,3.7966733915661215,178.41666666666666,37.589023690554065
F579-V1,14,3.7878407841633766,100.55714285714285,34.518077635716764
NGC4183,23,3.7089714279615897,101.89999999999999,29.23175915118418
NGC0024,29,3.69521950157906,84.65862068965517,30.281124703812623
NGC3992,9,3.6521264637627096,253.66666666666666,46.6203618986549
NGC5371,19,3.646876723365857,221.3684210526316,42.66537873007508
NGC4051,7,3.615942935395919,143.57142857142858,36.78961597961842
UGC00891,5,3.550063188122148,49.190000000000005,23.61287160458238
NGC3949,7,3.526503482426212,153.14285714285714,35.30492613910931
F568-3,18,3.468588895335421,74.81666666666666,30.498501550620293
NGC0801,13,3.454805036735855,207.46153846153845,41.06560821574415
UGC05005,11,3.3645057994139944,69.67272727272729,30.96026298382484
D631-7,16,3.360864079193503,43.038125,23.145735324384265
UGC04278,25,3.3575952888621243,56.8812,25.62323991709308
DDO154,12,3.35104969007871,38.18333333333333,21.265117677629647
NGC5585,24,3.2311194216081183,62.1875,23.143790815752958
DDO170,8,3.185284946058913,52.25,22.03328988251922
NGC5907,19,3.1751873062505505,221.57894736842104,38.397555768140116
NGC0100,21,2.9678963065543242,67.34333333333333,24.92896529336879
NGC3893,10,2.869736899918385,178.6,35.57285256418563
UGC00191,9,2.746755752736163,58.977777777777774,20.9896918135748
NGC1090,24,2.4080031851058488,149.9958333333333,25.48710377392438
NGC2683,11,2.4029970605730924,177.63636363636363,32.08811518667691
NGC6946,58,2.3363516954980046,163.29310344827587,31.675390772813557
ESO079-G014,15,2.253161543468082,119.38666666666667,25.599218311158985
DDO161,31,2.2130224841484116,49.25483870967741,19.152523035352317
UGC03205,48,2.12913702447722,215.125,32.54195130721486
NGC4559,32,2.096878963105112,110.490625,22.442984135741003
NGC3917,17,2.0790186565807343,114.8529411764706,22.70220740035626
UGC04499,9,1.9898859204626338,60.888888888888886,19.16337208858543
UGC05829,11,1.988144469559264,46.36363636363637,18.540460001447055
NGC2998,13,1.9801308529109949,187.07692307692307,30.988580923427506
NGC0055,21,1.941694043989484,72.25238095238095,18.08708382001398
NGC4100,24,1.9306026453136402,175.29166666666666,26.876331778601887
DDO168,10,1.8452800040911903,41.46,16.7568710078923
UGC01281,25,1.6951669919072752,34.4312,16.968238872559937
NGC6789,4,1.6704576147244952,37.725,21.21736025657748
IC2574,34,1.5999246562499945,43.47647058823529,16.71745155464959
F583-4,12,1.5164885691426244,51.23333333333334,16.636484078319242
NGC4138,7,1.4943017198069792,165.57142857142858,30.661616422110402
NGC2366,26,1.4016985813656384,40.492692307692316,14.648210458285046
NGC3972,10,1.3784118878361291,105.1,18.299081537038084
NGC4010,12,1.35546002082603,98.8,17.031564738275925
NGC3953,8,1.2949552321688924,213.625,24.33898672946845
UGC05750,11,1.2838451967074531,48.7,18.152953602624073
DDO064,14,1.0106957853480636,32.535,13.033960412186596
D512-2,4,0.878598537909131,32.375,11.212115396854651
D564-8,6,0.734915225433701,19.05666666666667,9.163875536316466
UGC05414,6,0.6553573717078787,45.18333333333333,10.265498992808121
NGC7793,46,0.6117668301694826,74.45652173913044,12.020683483834162
F574-2,5,0.5247965330179178,28.32,9.996281596367192
F567-2,5,0.45022777377257084,44.31999999999999,8.847946789786349
UGC04305,22,0.3336079443628646,30.085,6.539833204048935
UGC04483,8,0.32493162225090316,18.27625,6.243442655627603
KK98-251,15,0.31519796839674924,21.583333333333332,6.229971530844934
UGC02023,5,0.30542775873521455,37.48,8.223671955178396
CamB,9,0.3036968643865671,10.876666666666665,5.653966310625734
F561-1,6,0.2831916171936183,43.25,7.036424131385428
PGC51017,6,0.21934154572035902,19.166666666666668,5.101866548786295
NGC4068,6,0.21079949835926196,24.763333333333335,5.433131293187172
NGC2976,27,0.19715239225781658,51.159259259259265,5.5735720435845995
F563-V1,6,0.07069885751275441,24.61666666666667,3.104876207860491
